date,account_id,currency,balance,inflow,outflow,net_flow,day_of_week,day_of_week_num,is_weekend,day_of_month,is_month_end,bank_name,account_type
2025-01-01,ACC-001,COP,2579043824.12,94044817.48,15000993.36,79043824.12,Wednesday,2,0,1,0,Banco Aurora,operational
2025-01-02,ACC-001,COP,2561627958.95,125757477.77,143173342.95,-17415865.179999992,Thursday,3,0,2,0,Banco Aurora,operational
2025-01-03,ACC-001,COP,2561627958.95,0.0,0.0,0.0,Friday,4,0,3,0,Banco Aurora,operational
2025-01-04,ACC-001,COP,2588018042.02,38926524.28,12536441.22,26390083.060000002,Saturday,5,1,4,0,Banco Aurora,operational
2025-01-05,ACC-001,COP,2617987216.05,29969174.04,0.0,29969174.04,Sunday,6,1,5,0,Banco Aurora,operational
2025-01-06,ACC-001,COP,2619401324.43,136095932.88,134681824.51,1414108.3700000048,Monday,0,0,6,0,Banco Aurora,operational
2025-01-07,ACC-001,COP,2544669116.43,82906062.15,157638270.14,-74732207.98999998,Tuesday,1,0,7,0,Banco Aurora,operational
2025-01-08,ACC-001,COP,2623986567.63,106081488.11,26764036.92,79317451.19,Wednesday,2,0,8,0,Banco Aurora,operational
2025-01-09,ACC-001,COP,2705830898.71,102909524.63,21065193.55,81844331.08,Thursday,3,0,9,0,Banco Aurora,operational
2025-01-10,ACC-001,COP,2763219962.94,140598376.17,83209311.94,57389064.22999999,Friday,4,0,10,0,Banco Aurora,operational
2025-01-11,ACC-001,COP,2783608218.16,20388255.22,0.0,20388255.22,Saturday,5,1,11,0,Banco Aurora,operational
2025-01-12,ACC-001,COP,2877211972.92,118480201.55,24876446.79,93603754.75999999,Sunday,6,1,12,0,Banco Aurora,operational
2025-01-13,ACC-001,COP,2865976872.21,55506610.73,66741711.45,-11235100.720000006,Monday,0,0,13,0,Banco Aurora,operational
2025-01-14,ACC-001,COP,2872200707.92,124118951.53000003,117895115.82,6223835.710000038,Tuesday,1,0,14,0,Banco Aurora,operational
2025-01-15,ACC-001,COP,2865157469.24,115802293.72,122845532.4,-7043238.680000007,Wednesday,2,0,15,0,Banco Aurora,operational
2025-01-16,ACC-001,COP,3041942170.29,239358664.58,62573963.52,176784701.06,Thursday,3,0,16,0,Banco Aurora,operational
2025-01-17,ACC-001,COP,3058789206.46,52302946.13,35455909.97,16847036.160000004,Friday,4,0,17,0,Banco Aurora,operational
2025-01-18,ACC-001,COP,3017113748.73,83809250.71,125484708.43,-41675457.72000001,Saturday,5,1,18,0,Banco Aurora,operational
2025-01-19,ACC-001,COP,3044724302.69,27610553.96,0.0,27610553.96,Sunday,6,1,19,0,Banco Aurora,operational
